5-mars-2007;13.46
6-mars-2007;13.62
7-mars-2007;13.79
8-mars-2007;13.81
9-mars-2007;13.76
12-mars-2007;13.89
13-mars-2007;13.69
14-mars-2007;13.42
15-mars-2007;13.60
16-mars-2007;13.67
19-mars-2007;13.58
20-mars-2007;13.94
21-mars-2007;14.08
22-mars-2007;14.14
23-mars-2007;14.09
26-mars-2007;14.18
27-mars-2007;13.98
28-mars-2007;14.03
29-mars-2007;14.03
30-mars-2007;14.30
2-avr.-2007;14.34
3-avr.-2007;14.42
4-avr.-2007;14.40
5-avr.-2007;14.44
10-avr.-2007;14.45
11-avr.-2007;14.57
12-avr.-2007;14.60
13-avr.-2007;14.67
16-avr.-2007;14.73
17-avr.-2007;14.88
18-avr.-2007;14.71
19-avr.-2007;14.60
20-avr.-2007;14.72
23-avr.-2007;14.67
24-avr.-2007;14.75
25-avr.-2007;14.58
26-avr.-2007;14.90
27-avr.-2007;14.77
30-avr.-2007;14.72
2-mai-2007;14.67
3-mai-2007;14.69
4-mai-2007;14.61
7-mai-2007;14.76
8-mai-2007;14.72
9-mai-2007;14.74
10-mai-2007;14.79
11-mai-2007;14.83
14-mai-2007;15.00
15-mai-2007;14.92
16-mai-2007;15.03
17-mai-2007;15.21
18-mai-2007;15.09
21-mai-2007;15.00
22-mai-2007;14.97
23-mai-2007;14.76
24-mai-2007;14.87
25-mai-2007;14.63
28-mai-2007;14.68
29-mai-2007;14.80
30-mai-2007;14.75
31-mai-2007;14.82
4-juin-2007;15.04
5-juin-2007;14.90
6-juin-2007;14.89
7-juin-2007;14.65
8-juin-2007;14.50
11-juin-2007;14.75
12-juin-2007;14.69
13-juin-2007;14.91
14-juin-2007;14.88
15-juin-2007;15.03
18-juin-2007;15.14
19-juin-2007;15.14
20-juin-2007;15.06
21-juin-2007;15.00
22-juin-2007;15.25
25-juin-2007;15.07
26-juin-2007;15.11
27-juin-2007;15.23
28-juin-2007;15.34
29-juin-2007;15.44
2-juil.-2007;15.68
3-juil.-2007;15.72
4-juil.-2007;16.10
5-juil.-2007;16.32
6-juil.-2007;15.98
9-juil.-2007;16.42
10-juil.-2007;16.42
11-juil.-2007;16.19
12-juil.-2007;16.29
13-juil.-2007;16.39
16-juil.-2007;16.46
17-juil.-2007;16.39
18-juil.-2007;16.65
19-juil.-2007;16.59
20-juil.-2007;16.65
23-juil.-2007;16.31
24-juil.-2007;16.47
25-juil.-2007;16.24
26-juil.-2007;16.07
27-juil.-2007;15.68
30-juil.-2007;15.44
31-juil.-2007;15.47
1-août-2007;15.12
2-août-2007;15.30
3-août-2007;15.24
6-août-2007;14.95
7-août-2007;15.15
8-août-2007;15.22
9-août-2007;15.18
10-août-2007;14.97
13-août-2007;14.73
14-août-2007;14.95
16-août-2007;14.61
17-août-2007;13.65
20-août-2007;14.10
21-août-2007;14.07
22-août-2007;14.18
23-août-2007;14.56
24-août-2007;14.57
27-août-2007;14.77
28-août-2007;14.79
29-août-2007;14.55
30-août-2007;14.74
31-août-2007;15.24
3-sept.-2007;15.48
4-sept.-2007;15.37
5-sept.-2007;15.48
6-sept.-2007;15.20
7-sept.-2007;15.03
10-sept.-2007;14.75
11-sept.-2007;14.61
12-sept.-2007;14.85
13-sept.-2007;14.49
14-sept.-2007;14.34
17-sept.-2007;14.08
18-sept.-2007;13.88
19-sept.-2007;14.12
20-sept.-2007;14.03
21-sept.-2007;13.96
24-sept.-2007;13.78
25-sept.-2007;13.80
26-sept.-2007;13.66
27-sept.-2007;13.34
28-sept.-2007;13.31
1-oct.-2007;13.52
2-oct.-2007;13.67
3-oct.-2007;13.73
4-oct.-2007;13.61
5-oct.-2007;13.79
8-oct.-2007;14.11
9-oct.-2007;14.12
10-oct.-2007;14.22
11-oct.-2007;14.13
12-oct.-2007;14.08
15-oct.-2007;13.98
16-oct.-2007;13.75
17-oct.-2007;13.75
18-oct.-2007;13.85
19-oct.-2007;13.59
22-oct.-2007;13.49
23-oct.-2007;13.48
24-oct.-2007;13.75
25-oct.-2007;13.84
26-oct.-2007;13.84
29-oct.-2007;13.89
30-oct.-2007;13.79
31-oct.-2007;13.70
1-nov.-2007;13.79
2-nov.-2007;13.57
5-nov.-2007;13.71
6-nov.-2007;13.52
7-nov.-2007;13.42
8-nov.-2007;12.75
9-nov.-2007;13.16
12-nov.-2007;12.65
13-nov.-2007;12.71
14-nov.-2007;13.03
15-nov.-2007;12.58
16-nov.-2007;12.30
19-nov.-2007;12.14
20-nov.-2007;11.50
21-nov.-2007;11.42
22-nov.-2007;11.08
23-nov.-2007;11.40
26-nov.-2007;11.82
27-nov.-2007;11.63
28-nov.-2007;11.84
29-nov.-2007;12.19
30-nov.-2007;11.87
3-déc.-2007;11.94
4-déc.-2007;12.00
5-déc.-2007;12.04
6-déc.-2007;12.11
7-déc.-2007;11.96
10-déc.-2007;12.12
11-déc.-2007;12.48
12-déc.-2007;12.14
13-déc.-2007;12.18
14-déc.-2007;12.17
17-déc.-2007;11.91
18-déc.-2007;11.62
19-déc.-2007;11.55
20-déc.-2007;11.44
21-déc.-2007;11.60
27-déc.-2007;11.73
28-déc.-2007;11.59
2-janv.-2008;11.56
3-janv.-2008;11.41
4-janv.-2008;11.28
7-janv.-2008;10.71
8-janv.-2008;10.45
9-janv.-2008;10.32
10-janv.-2008;10.33
11-janv.-2008;10.56
14-janv.-2008;10.60
15-janv.-2008;10.90
16-janv.-2008;10.52
17-janv.-2008;10.81
18-janv.-2008;10.74
21-janv.-2008;10.83
22-janv.-2008;10.40
23-janv.-2008;11.00
24-janv.-2008;10.76
25-janv.-2008;11.09
28-janv.-2008;10.82
29-janv.-2008;11.10
30-janv.-2008;11.13
31-janv.-2008;11.27
1-févr.-2008;11.37
4-févr.-2008;11.49
5-févr.-2008;11.40
6-févr.-2008;10.95
7-févr.-2008;11.45
8-févr.-2008;11.64
11-févr.-2008;11.29
12-févr.-2008;11.54
13-févr.-2008;11.34
14-févr.-2008;11.53
15-févr.-2008;11.19
18-févr.-2008;11.18
19-févr.-2008;11.24
20-févr.-2008;11.26
21-févr.-2008;11.30
22-févr.-2008;11.13
25-févr.-2008;11.15
26-févr.-2008;11.37
27-févr.-2008;11.35
28-févr.-2008;11.28
29-févr.-2008;11.08
5-mars-2009;13.54
6-mars-2009;13.79
7-mars-2009;13.87
8-mars-2009;13.81
9-mars-2009;13.93
12-mars-2009;13.94
13-mars-2009;13.76
14-mars-2009;13.74
15-mars-2009;13.72
16-mars-2009;13.70
19-mars-2009;13.95
20-mars-2009;14.09
21-mars-2009;14.13
22-mars-2009;14.21
23-mars-2009;14.24
26-mars-2009;14.18
27-mars-2009;14.14
28-mars-2009;14.14
29-mars-2009;14.29
30-mars-2009;14.42
2-avr.-2009;14.48
3-avr.-2009;14.48
4-avr.-2009;14.45
5-avr.-2009;14.45
10-avr.-2009;14.60
11-avr.-2009;14.66
12-avr.-2009;14.66
13-avr.-2009;14.76
16-avr.-2009;14.90
17-avr.-2009;14.89
18-avr.-2009;14.77
19-avr.-2009;14.69
20-avr.-2009;14.73
23-avr.-2009;14.77
24-avr.-2009;14.75
25-avr.-2009;14.77
26-avr.-2009;14.90
27-avr.-2009;14.77
30-avr.-2009;14.75
2-mai-2009;14.77
3-mai-2009;14.74
4-mai-2009;14.76
7-mai-2009;14.90
8-mai-2009;14.80
9-mai-2009;14.82
10-mai-2009;14.99
11-mai-2009;14.97
14-mai-2009;15.09
15-mai-2009;15.06
16-mai-2009;15.28
17-mai-2009;15.25
18-mai-2009;15.25
21-mai-2009;15.01
22-mai-2009;14.97
23-mai-2009;15.13
24-mai-2009;14.95
25-mai-2009;14.75
28-mai-2009;14.85
29-mai-2009;14.81
30-mai-2009;14.80
31-mai-2009;15.05
4-juin-2009;15.15
5-juin-2009;15.10
6-juin-2009;15.05
7-juin-2009;14.70
8-juin-2009;14.63
11-juin-2009;14.75
12-juin-2009;14.76
13-juin-2009;14.94
14-juin-2009;15.04
15-juin-2009;15.20
18-juin-2009;15.38
19-juin-2009;15.21
20-juin-2009;15.19
21-juin-2009;15.23
22-juin-2009;15.26
25-juin-2009;15.23
26-juin-2009;15.29
27-juin-2009;15.34
28-juin-2009;15.47
29-juin-2009;15.71
2-juil.-2009;15.71
3-juil.-2009;16.04
4-juil.-2009;16.39
5-juil.-2009;16.82
6-juil.-2009;16.31
9-juil.-2009;16.42
10-juil.-2009;16.48
11-juil.-2009;16.39
12-juil.-2009;16.35
13-juil.-2009;16.43
16-juil.-2009;16.47
17-juil.-2009;16.71
18-juil.-2009;16.65
19-juil.-2009;16.75
20-juil.-2009;16.71
23-juil.-2009;16.48
24-juil.-2009;16.53
25-juil.-2009;16.24
26-juil.-2009;16.23
27-juil.-2009;15.75
30-juil.-2009;15.59
31-juil.-2009;15.55
1-août-2009;15.27
2-août-2009;15.30
3-août-2009;15.45
6-août-2009;15.21
7-août-2009;15.20
8-août-2009;15.28
9-août-2009;15.26
10-août-2009;14.97
13-août-2009;14.97
14-août-2009;15.03
16-août-2009;14.80
17-août-2009;14.26
20-août-2009;14.23
21-août-2009;14.24
22-août-2009;14.53
23-août-2009;14.66
24-août-2009;14.74
27-août-2009;14.77
28-août-2009;14.98
29-août-2009;14.69
30-août-2009;15.11
31-août-2009;15.52
3-sept.-2009;15.60
4-sept.-2009;15.54
5-sept.-2009;15.50
6-sept.-2009;15.39
7-sept.-2009;15.10
10-sept.-2009;14.91
11-sept.-2009;14.87
12-sept.-2009;14.85
13-sept.-2009;14.62
14-sept.-2009;14.36
17-sept.-2009;14.14
18-sept.-2009;13.97
19-sept.-2009;14.20
20-sept.-2009;14.03
21-sept.-2009;13.96
24-sept.-2009;13.94
25-sept.-2009;13.81
26-sept.-2009;13.80
27-sept.-2009;13.48
28-sept.-2009;13.56
1-oct.-2009;13.65
2-oct.-2009;13.86
3-oct.-2009;13.81
4-oct.-2009;13.80
5-oct.-2009;14.11
8-oct.-2009;14.23
9-oct.-2009;14.23
10-oct.-2009;14.22
11-oct.-2009;14.18
12-oct.-2009;14.15
15-oct.-2009;14.09
16-oct.-2009;13.78
17-oct.-2009;13.90
18-oct.-2009;13.87
19-oct.-2009;13.85
22-oct.-2009;13.58
23-oct.-2009;13.86
24-oct.-2009;13.88
25-oct.-2009;13.92
26-oct.-2009;13.95
29-oct.-2009;13.94
30-oct.-2009;13.82
31-oct.-2009;13.81
1-nov.-2009;13.85
2-nov.-2009;13.85
5-nov.-2009;13.76
6-nov.-2009;13.57
7-nov.-2009;13.48
8-nov.-2009;13.33
9-nov.-2009;13.16
12-nov.-2009;13.03
13-nov.-2009;12.87
14-nov.-2009;13.03
15-nov.-2009;12.71
16-nov.-2009;12.32
19-nov.-2009;12.19
20-nov.-2009;11.64
21-nov.-2009;11.47
22-nov.-2009;11.43
23-nov.-2009;11.78
26-nov.-2009;11.97
27-nov.-2009;12.02
28-nov.-2009;12.15
29-nov.-2009;12.19
30-nov.-2009;12.12
3-déc.-2009;12.07
4-déc.-2009;12.04
5-déc.-2009;12.16
6-déc.-2009;12.14
7-déc.-2009;12.22
10-déc.-2009;12.50
11-déc.-2009;12.53
12-déc.-2009;12.41
13-déc.-2009;12.33
14-déc.-2009;12.17
17-déc.-2009;11.96
18-déc.-2009;11.72
19-déc.-2009;11.59
20-déc.-2009;11.63
21-déc.-2009;11.82
27-déc.-2009;11.82
28-déc.-2009;11.67
2-janv.-2010;11.61
3-janv.-2010;11.42
4-janv.-2010;11.31
7-janv.-2010;10.81
8-janv.-2010;10.61
9-janv.-2010;10.39
10-janv.-2010;10.67
11-janv.-2010;10.87
14-janv.-2010;11.05
15-janv.-2010;10.98
16-janv.-2010;10.90
17-janv.-2010;11.03
18-janv.-2010;11.19
21-janv.-2010;11.08
22-janv.-2010;10.99
23-janv.-2010;11.00
24-janv.-2010;10.97
25-janv.-2010;11.16
28-janv.-2010;11.14
29-janv.-2010;11.36
30-janv.-2010;11.30
31-janv.-2010;11.29
1-févr.-2010;11.55
4-févr.-2010;11.59
5-févr.-2010;11.40
6-févr.-2010;11.53
7-févr.-2010;11.75
8-févr.-2010;11.77
11-févr.-2010;11.58
12-févr.-2010;11.54
13-févr.-2010;11.49
14-févr.-2010;11.54
15-févr.-2010;11.23
18-févr.-2010;11.32
19-févr.-2010;11.44
20-févr.-2010;11.31
21-févr.-2010;11.35
22-févr.-2010;11.20
25-févr.-2010;11.35
26-févr.-2010;11.40
27-févr.-2010;11.35
28-févr.-2010;11.32
29-févr.-2010;11.14
